Provider,Provider ID,Provider Name,Provider Parent Provider,Provider Description,Provider Eligibility,Provider Hours,Provider Intake / Application Process,Provider Languages,Provider Program Fees,Provider Shelter Requirements,Provider Volunteer Opportunities,Provider Website Address,Address Type,Address Line1,Address Line2,Address City,Address Province,Address Postal Code,Address County,Address Is Primary Address,Contact Name,Contact Title,Contact Email,Contact Telephone Number,Contact Is Primary Contact,Telephone Number,Telephone Is Primary Telephone,Service Code,Service Code Description,Service Code Type Service,Service Code Out Of Resource,"Geography Served by State, State Name"
CITY YEAR - WHOLE SCHOOL WHOLE CHILD(2474),2474,CITY YEAR - WHOLE SCHOOL WHOLE CHILD,"CITY YEAR, INC.(2473)","Students will serve as full-time tutors, mentors and role models to address the needs of students in high poverty schools. AmeriCorps members serve as a consistent and caring adult presence throughout a child's day. Each team of AmeriCorps members provides multiple services to a school community, including small group literacy tutoring, whole class support, lunch-time mentoring, after-school programming, and positive school climate activities.

City Year Miami currently serves in the following schools:

Allapattah Middle?�School
Booker T. Washington Senior High?�School
Brownsville Middle School**
Cutler Ridge Middle School**
Homestead Middle?�School
Homestead Senior High?�School
Madison Middle?�School
Miami Carol City Senior High?�School
Miami Carol City Middle School**
Miami Central Senior High?�School
Miami Edison Senior High?�School
Miami Jackson Senior High?�School
Miami Norland Senior High?�School
Miami Northwestern Senior High?�School
Miami Southridge Senior High?�School
North Miami Senior High?�School
Pine Villa Elementary?�School
Redland Middle School**",Call for information.,"9:00am-5:00pm, Mon-Fri","Must apply online or in person, call for information.",English,Free,,"Yes, call for information.",cityyear.org,Physical,44 West Flagler Street,Suite 500,Miami,FL ,33130,Miami-dade,Yes,Byron Anderson,Recruitment Manager,banderson10@cityyear.org,786-406-7931,Yes,786-406-7900,Yes,ND-9200,Volunteer Service Programs,Primary Services,No,Florida
CITY YEAR - WHOLE SCHOOL WHOLE CHILD(2474),2474,CITY YEAR - WHOLE SCHOOL WHOLE CHILD,"CITY YEAR, INC.(2473)","Students will serve as full-time tutors, mentors and role models to address the needs of students in high poverty schools. AmeriCorps members serve as a consistent and caring adult presence throughout a child's day. Each team of AmeriCorps members provides multiple services to a school community, including small group literacy tutoring, whole class support, lunch-time mentoring, after-school programming, and positive school climate activities.

City Year Miami currently serves in the following schools:

Allapattah Middle?�School
Booker T. Washington Senior High?�School
Brownsville Middle School**
Cutler Ridge Middle School**
Homestead Middle?�School
Homestead Senior High?�School
Madison Middle?�School
Miami Carol City Senior High?�School
Miami Carol City Middle School**
Miami Central Senior High?�School
Miami Edison Senior High?�School
Miami Jackson Senior High?�School
Miami Norland Senior High?�School
Miami Northwestern Senior High?�School
Miami Southridge Senior High?�School
North Miami Senior High?�School
Pine Villa Elementary?�School
Redland Middle School**",Call for information.,"9:00am-5:00pm, Mon-Fri","Must apply online or in person, call for information.",English,Free,,"Yes, call for information.",cityyear.org,Mailing,44 West Flagler Street,Suite 500,Miami,FL ,33130,Miami-dade,No,Oliver Supitux,Program and Service Operations Manager,osupitux11@cityyear.org,786-406-7928,No,786-406-7900,Yes,ND-9200,Volunteer Service Programs,Primary Services,No,Florida
CITY YEAR - WHOLE SCHOOL WHOLE CHILD(2474),2474,CITY YEAR - WHOLE SCHOOL WHOLE CHILD,"CITY YEAR, INC.(2473)","Students will serve as full-time tutors, mentors and role models to address the needs of students in high poverty schools. AmeriCorps members serve as a consistent and caring adult presence throughout a child's day. Each team of AmeriCorps members provides multiple services to a school community, including small group literacy tutoring, whole class support, lunch-time mentoring, after-school programming, and positive school climate activities.

City Year Miami currently serves in the following schools:

Allapattah Middle?�School
Booker T. Washington Senior High?�School
Brownsville Middle School**
Cutler Ridge Middle School**
Homestead Middle?�School
Homestead Senior High?�School
Madison Middle?�School
Miami Carol City Senior High?�School
Miami Carol City Middle School**
Miami Central Senior High?�School
Miami Edison Senior High?�School
Miami Jackson Senior High?�School
Miami Norland Senior High?�School
Miami Northwestern Senior High?�School
Miami Southridge Senior High?�School
North Miami Senior High?�School
Pine Villa Elementary?�School
Redland Middle School**",Call for information.,"9:00am-5:00pm, Mon-Fri","Must apply online or in person, call for information.",English,Free,,"Yes, call for information.",cityyear.org,Physical,44 West Flagler Street,Suite 500,Miami,FL ,33130,Miami-dade,Yes,Oliver Supitux,Program and Service Operations Manager,osupitux11@cityyear.org,786-406-7928,No,786-406-7900,Yes,ND-9200,Volunteer Service Programs,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK(2403),2403,AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children between 4-17 years of age.,"6:00pm-8:00pm, Tue & Thur
2:00pm-4:00pm, Sat",Call for information.,"English, Spanish",Free,,"Yes, contact for information.",www.americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,acop@children-for-peace.com,305-285-2303,No,305-285-2330,No,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK(2403),2403,AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children between 4-17 years of age.,"6:00pm-8:00pm, Tue & Thur
2:00pm-4:00pm, Sat",Call for information.,"English, Spanish",Free,,"Yes, contact for information.",www.americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Lead Program Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2330,No,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK(2403),2403,AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children between 4-17 years of age.,"6:00pm-8:00pm, Tue & Thur
2:00pm-4:00pm, Sat",Call for information.,"English, Spanish",Free,,"Yes, contact for information.",www.americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,acop@children-for-peace.com,305-285-2303,No,305-285-2303,Yes,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK(2403),2403,AMERICAN CHILDRENS ORCHESTRAS - JOSE MARTI PARK,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children between 4-17 years of age.,"6:00pm-8:00pm, Tue & Thur
2:00pm-4:00pm, Sat",Call for information.,"English, Spanish",Free,,"Yes, contact for information.",www.americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Lead Program Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2303,Yes,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Angie Rivera 305-365-6346,Board Officer,angierivera@firstservemiami.org,305-365-6346,No,305-365-6346,Yes,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Robert Flader,Program Site Director,rflader@gmtef.org,305-479-7681,No,305-365-6346,Yes,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Thomas Simmons,President,tjsimmons@gmtef.org,305-365-6346,Yes,305-365-6346,Yes,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Angie Rivera 305-365-6346,Board Officer,angierivera@firstservemiami.org,305-365-6346,No,305-871-5878,No,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Robert Flader,Program Site Director,rflader@gmtef.org,305-479-7681,No,305-871-5878,No,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Thomas Simmons,President,tjsimmons@gmtef.org,305-365-6346,Yes,305-871-5878,No,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Angie Rivera 305-365-6346,Board Officer,angierivera@firstservemiami.org,305-365-6346,No,305-365-6387,No,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Robert Flader,Program Site Director,rflader@gmtef.org,305-479-7681,No,305-365-6387,No,PL-7000.9000,Tennis,Primary Services,No,Florida
FIRST SERVE MIAMI - TENNIS PROGRAM(2823),2823,FIRST SERVE MIAMI - TENNIS PROGRAM,"FIRST SERVE MIAMI, INC.(2821)","First Serve Miami, formerly known as The Greater Miami Tennis & Education Foundation introduces tennis to youngsters who otherwise would not have the opportunity to learn the sport. The mission is to help inner-city and economically challenged children by teaching them tennis and life skills through the discipline and challenge of sports.",Children from the ages of 6 to 17 years old.,"9:00am-5:00pm, Mon-Fri
4:00pm-7:30pm, Mon-Fri (August-May) 
9:00am-4:00pm, Mon-Fri (June-July)",Must contact main office for registration information in order to complete registration form. Call for information.,"English, Spanish","Free
Registration Fees: $65 includes free lunch.",,"Yes, call for information.",www.firstservemiami.org,Mailing,6501 NW 36th Street,Suite 300,Miami,FL ,33166,Miami-dade,No,Thomas Simmons,President,tjsimmons@gmtef.org,305-365-6346,Yes,305-365-6387,No,PL-7000.9000,Tennis,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Site Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2303,Yes,PS-9800,Youth Development,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,maidas@bellsouth.net,305-285-2303,No,305-285-2303,Yes,PS-9800,Youth Development,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Site Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2330,No,PS-9800,Youth Development,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,maidas@bellsouth.net,305-285-2303,No,305-285-2330,No,PS-9800,Youth Development,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Site Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2303,Yes,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,maidas@bellsouth.net,305-285-2303,No,305-285-2303,Yes,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Sshasha Giraldo,Site Coordinator,acop@children-for-peace.com,305-285-2303,Yes,305-285-2330,No,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER(2401),2401,AMERICAN CHILDRENS ORCHESTRAS - PAUL L. DUNBAR K-8 CENTER,"AMERICAN CHILDRENS ORCHESTRAS FOR PEACE, INC.(2398)","ACOP programs main objectives is to keep children away from unhealthy patterns and those dangerous idle times during after school hours when they may be prone to getting involved with street gangs and other violent activities. 

ACOP's mission is to create for our children, through music, an environment free of violence.  Our vision is that, by developing specific musical programs, we aim to provide children with alternatives to the cycle of poverty and hopelessness which often leads to violence, catering as much to the children's artistic development as it does to the idea of music as a tool for peace and social change.",Children who attend Paul L. Dunbar K-8 Center.,"3:00pm 4:30pm, Mon & Wed",Call for information.,"English, Spanish",Free,,"Yes, contact  for information.",americanchildrensorchestras.org,Mailing,801 SW 3rd Avenue,Suite 308,Miami,FL ,33130,Miami-dade,No,Maida Santander,President of ACOP,maidas@bellsouth.net,305-285-2303,No,305-285-2330,No,PL-7400.5500-570,Musical Instrument Instruction,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Karen Basha  Egozi,Chief Executive Officer,Kegozi@efof.org,305-670-4949 x211,No,305-670-0904,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Ivonne Anton,VP Director of Operations,ianton@efof.org,305-670-4949 x209,No,305-670-0904,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES(483),483,EPILEPSY FOUNDATION - NEUROPSYCHOLOGICAL SERVICES,EPILEPSY FOUNDATION OF FLORIDA(480),"Provides evaluations of client's cognitive and emotional functioning, including memory and related processes, consultation with school personnel and families concerning learning and behavior patterns associated with epilepsy, and consultation with staff concerning psychological aspects of their client's experiences and related mental health concerns.

###COL###
###MON###",Individuals with Epilepsy and their families.,"8:30am-5:00pm, Mon-Fri",Call for information.,"English, Spanish",Call for information.,,"Yes, call for information.",www.epilepsyfla.org,Physical,1200 NW 78th Avenue,Suite 400,Miami,FL ,33126,Miami-dade,Yes,Roxana Galera,Social Service Dept Manager,rgalera@efof.org,305-670-4949 x204,No,305-670-0904,No,LV-5700,Neuropsychiatry/Neuropsychology,Primary Services,No,Florida
